,Title,Directed by,Produced by,Screenplay by,Based on,Starring,Music by,Cinematography,Edited by,Production companies,Distributed by,Running time,Country,Language,Running Time,Budget,Release date,Written by,Production company,Story by
385,Audrie & Daisy,Bonni Cohen Jon Shenk,Richard Berge Sara Dosa,,,Audrie Pott Daisy Coleman Paige Parkhurst Melinda Coleman,Tyler Strickland,Jon Shenk,Don Bernier,,Netflix,95 minutes,United States,English,95,,2016,,Actual Films,
386,Amanda Knox,"['Rod Blackhurst', 'Brian McGinn']","['Rod Blackhurst', 'Mette Heide', 'Brian McGinn', 'Stephen Robert Morse']",,,,"['Danny Bensi', 'Saunder Jurriaans']",Rod Blackhurst,Matthew Hamachek,,Netflix,92 minutes,United States,Italian,92,,2016,"['Matthew Hamachek', 'Brian McGinn']",,
387,13th,Ava DuVernay,Howard Barish Ava DuVernay Spencer Averick,,,,Jason Moran,Hans Charles Kira Kelly,Spencer Averick,,Netflix,100 minutes,United States,English,100,1000000,2016,Ava DuVernay Spencer Averick,Kandoo Films,
388,Sky Ladder: The Art of Cai Guo-Qiang,Kevin Macdonald,,,,"['Ian Buruma', 'Guo-Qiang Cai', 'Wen-You Cai']",,,,,Netflix,76 minutes,United States,Mandarin,76,,2016,,,
389,Into the Inferno,Werner Herzog,André Singer Lucki Stipetic,,,,,Peter Zeitlinger,Joe Bini,,Netflix,104 minutes,Austria,English,104,,2016,,,
390,The Ivory Game,Richard Ladkani Kief Davidson,Walter Köhler Kief Davidson Wolfgang Knöpfler,,,,,Richard Ladkani,,"Vulcan Productions Terra Mater Factual Studios, in association with Malaika Pictures, in association with Appian Way",,,United States,,,,2016,,,
391,Casting JonBenet,Kitty Green,"['Kitty Green', 'Scott Macaulay', 'James Schamus']",,,,Nathan Larson,Michael Latham,Davis Coombe,,Netflix,80 minutes,United States,English,80,,2017,,"['Forensic Films', 'Symbolic Exchange', 'Meridian Entertainment']",
392,The Mars Generation,Michael Barnett,"['Austin Francalancia', 'Clare Tucker']",,,"['Bob Behnken', 'Alayna Bidlack', 'Niko Blanks']",,,,,Netflix,97 minutes,United States,English,97,,2017,"['Michael Barnett', 'Michael Mahaffie']",,
393,Get Me Roger Stone,"['Dylan Bank', 'Daniel DiMauro', 'Morgan Pehme']","['Daniel DiMauro', 'Kara Elverson', 'Blair Foster', 'Shirel Kozak', 'Frank Morano', 'Morgan Pehme', 'Fredrik Stanton']",,,Roger Stone,"['Mark Degli Antoni', 'Kyle S. Wilson']","['Dylan Bank', 'Sam Cullman', 'Daniel DiMauro', 'Ronan Killeen', 'Antonio Rossi']","['Daniel DiMauro', 'Jason Pollard']",,Netflix,92 minutes,United States,English,92,,2017,"['Dylan Bank', 'Daniel DiMauro', 'Morgan Pehme']",,
394,Laerte-se,"['Lygia Barbosa', 'Eliane Brum']",,,,"['Laerte Coutinho', 'Eliane Brum', 'Rita Lee']",,,,,Netflix,100 minutes,Brazil,Portuguese,100,,2017,Eliane Brum,,
395,Joshua: Teenager vs. Superpower,Joe Piscatella,,,,Joshua Wong,,,,,,,,,,,2017,,,
396,CounterPunch,Jay Bulger,,,,"['Oscar De La Hoya', 'David Diamante', 'Bernard Hopkins']",,,,,Netflix,91 minutes,United States,English,91,,2017,Jay Bulger,,
397,Nobody Speak: Trials of the Free Press,Brian Knappenberger,"['Brian Knappenberger', 'Femke Wolting', 'Korelan Matteson']",,,,Garron Chang,,Andrew Mcallister,,,95 minutes,,,95,,2017,,"['Netflix', 'First Look Media']",
398,Chasing Coral-Stub,Jeff Orlowski,Jeff Orlowski Larissa Rhodes,,,,Saul Simon MacWilliams Dan Romer,Andrew Ackerman Jeff Orlowski,Davis Coombe,"Argent Pictures Code Blue Foundation EarthSense Foundation Kendeda Fund, The Sustainable Films Exposure Labs",Netflix,93 minutes,United States,English,93,,2017,Davis Coombe Vickie Curtis Jeff Orlowski,,
399,Icarus,Bryan Fogel,Dan Cogan Bryan Fogel David Fialkow Jim Swartz,,,,Adam Peters,Jake Swantko Timothy Rode,Jon Bertain,,Netflix,121 minutes,United States,English,121,,2017,Bryan Fogel Mark Monroe,Alex Productions Diamond Docs Impact Partners,
400,Resurface,"['Joshua Izenberg', 'Wynn Padula']",,,,"['Bobby Lane', 'Van Curaza', 'Martin Pollock']",,,,,Netflix,26 minutes,United States,English,26,,2017,,,
401,Heroin(e),Elaine McMillion Sheldon,"['Elaine McMillion Sheldon', 'Kerrin Sheldon']",,,,Daniel Hart,,,,Netflix,39 minutes,United States,English,39,,2017,,,
402,Strong Island,Yance Ford,"['Joslyn Barnes', 'Yance Ford']",,,,Hildur Guðnadóttir,Alan Jacobsen,Janus Billeskov Jansen,,Netflix,107 minutes,,,107,,2017,,"['Yanceville Films', 'Louverture Films']",
403,Gaga: Five Foot Two,Chris Moukarbel,Bobby Campbell Chris Moukarbel Heather Parry Lady Gaga,,,Lady Gaga,,Chris Moukarbel,Greg Arata,,Netflix,100 minutes,United States,English,100,,2017,,Live Nation Productions Mermaid Films Permanent Wave,
404,Long Shot,Jacob LaMendola,,,,"['Tasha Boggs', 'Juan Catalan', 'Melissa Catalan']",,,,,Netflix,40 minutes,United States,English,40,,2017,,,
405,The Death and Life of Marsha P. Johnson,David France,David France L. A. Teodosio Joy A. Tomchin Kimberly Reed,,,,Bryce Dessner,Tom Bergmann Adam Uhl,Tyler H. Walk,,Netflix,105 minutes,United States,English,105,,2017,David France Mark Blane,Public Square Films,
406,Kingdom of Us,Lucy Cohen,,,,"['Jamie-Jodie Shanks', 'Kacie-Kimie Shanks', 'Lorie-Lanie Shanks']",,,,,Netflix,109 minutes,United Kingdom,English,109,,2017,,,
407,One of Us,"['Heidi Ewing', 'Rachel Grady']","['Heidi Ewing', 'Rachel Grady']",,,,T. Griffin,"['Jenni Morello', 'Alex Takats']","['J. D. Marlow', 'Enat Sidi']",,Netflix,95 minutes,United States,Yiddish,95,,2017,,Loki Films,
408,Joan Didion: The Center Will Not Hold,Griffin Dunne,Griffin Dunne Annabella Dunne Mary Recine Susanne Rostock,,,Hilton Als Tom Brokaw Dick Cheney,Nathan Halpern,Tom Hurwitz Reed Morano William Rexer,Ann Collins,,Netflix,94 minutes,United States,English,94,,2017,,,
409,Jim & Andy: The Great Beyond,Chris Smith,"['Brendan Fitzgerald', 'Danny Gabai', 'Spike Jonze', 'Chris Smith']",,,Jim Carrey,,Brantley Gutierrez,Barry Poltermann,VICE Films,Netflix,94 minutes,United States,English,94,,2017,,,
410,Saving Capitalism,"['Jacob Kornbluth', 'Sari Gilman']",,,,Robert Reich,,,,,Netflix,73 minutes,United States,English,73,,2017,,,
411,Cuba and the Cameraman,Jon Alpert,"['Jon Alpert', ""Matthew O'Neill"", 'Tessa Treadway']",,,,Daniel Freiberg,Jon Alpert,David Meneses,,Netflix,113 minutes,United States,Spanish,113,,2017,Jon Alpert,,
412,Voyeur,"['Myles Kane', 'Josh Koury']",Trisha Koury,,,"['Gay Talese', 'Gerald Foos']",Joel Goodman,Cristobal Moris,"['Myles Kane', 'Josh Koury']",,Netflix,96 minutes,United States,English,96,,2017,,"['Brooklyn Underground Films', 'Chicago Media Project', 'Impact Partners', 'Public Record']",
413,Seeing Allred,"['Roberta Grossman', 'Sophie Sartain']",,,,"['Gloria Allred', 'Lisa Bloom', 'Bill Cosby']",,,,,Netflix,96 minutes,United States,English,96,,2018,,,
414,Ladies First,"['Uraaz Bahl', 'Shaana Levy Bahl']",,,,,,John W. Rutland,Avdhesh Mohla,,Netflix,40 minutes,India,Hindi,40,,2017,,,
415,Take Your Pills,,,,,,,,,,,,,,,,,,,
416,"Ram Dass, Going Home",,,,,,,,,,,,,,,,,,,
417,Mercury 13,David Sington Heather Walsh,David Sington Heather Walsh Trevor Birney Brendan Byrne Geraldine Creed,,,,Philip Sheppard,Nickolas Dylan Rossi,David Fairhead Paul Holland,,Netflix,,,,,,,,Netflix,
418,The Rachel Divide,Laura Brownson,Laura Brownson Khaliah Neal Bridget Stokes Tessa Treadway Roger Ross Williams,,,,,,Jeff Seymann Gilbert,,Netflix,100 minutes,United States,English,100,,2018,Laura Brownson Jeff Seymann Gilbert,,
419,End Game,"['Rob Epstein', 'Jeffrey Friedman']","['Rob Epstein', 'Jeffrey Friedman', 'Rebekah Fergusson', 'William Hirsch', 'Shoshana R. Ungerleider', 'Steven Ungerleider', 'David Ulich']",,,,"['T. Griffin', 'Máté Papp']","['Rob Epstein', 'Rebekah Fergusson']","['Rob Epstein', 'Jeffrey Friedman']",,Netflix,40 minutes,United States,English,40,,2018,,,
420,Recovery Boys,Elaine McMillion Sheldon,,,,,,,,,Netflix,89 minutes,United States,English,89,,2018,,,
421,The Bleeding Edge,Kirby Dick,Amy Ziering and Amy Herdy,,,,Jeff Beal,Thaddeus Wadleigh,"['Derek Boonstra', 'Andy McAllister']",,Netflix,96 minutes,United States,English,96,,2018,,"['Chain Camera Pictures', 'Shark Island Productions']",
422,Zion,Floyd Russ,,,,"['Zion Clark', 'Gilbert Donahue', 'Kimberly Clark']",,,,,Netflix,12 minutes,United States,English,12,,2018,,,
423,City of Joy,Madeleine Gavin,Allyson Luchak,,,"['Christine Schuler-Deschryver', 'Denis Mukwege Mukengere', 'Eve Ensler']",Lokua Kanza tomandandy,Taylor Krauss Lisa Rinzler,Madeleine Gavin,,Netflix,74 minutes,Congo,Swahili,74,,2018,Madeleine Gavin,,
424,Reversing Roe,"['Ricki Stern', 'Anne Sundberg']","['Keli Goff', 'Anne Sundberg']",,,Donna Howard John Seago Brigitte Amiri Troy Newman Colleen McNicholas,Paul Brill,Charles Miller,Ben Gold,,Netflix,99 minutes,United States,English,99,,2018,,Netflix,
425,Quincy,"['Alan Hicks', 'Rashida Jones']",Paula DuPré Pesmen,,,Quincy Jones,,,,,Netflix,124 minutes,United States,English,124,,2018,"['Alan Hicks', 'Rashida Jones']","['TriBeCa Productions', 'Quincy Jones Productions']",
426,Two Catalonias,"['Álvaro Longoria', 'Gerardo Olivares']",,,,"['Luis María Ansón', 'Inés Arrimadas', 'Elsa Artadi']",,,,,Netflix,116 minutes,Spain,Catalan,116,,2018,,,
427,Lessons from a School Shooting: Notes from Dunblane,Kim A. Snyder,,,,,,,,,Netflix,22 minutes,United States,English,22,,2018,,,
428,Feminists: What Were They Thinking?,Johanna Demetrakas,Lisa Remington,,,"['Laurie Anderson', 'Phyllis Chesler', 'Judy Chicago']",Lili Haydn,Kristy Tully,Kate Amend,,Netflix,86 minutes,United States,English,86,,2018,,,
429,ReMastered: Who Shot the Sheriff?,Kief Davidson,,,,"['Bob Marley', 'Arnold Bertram', 'Cindy Breakspeare']",Asaf Sagiv,,,,Netflix,57 minutes,United States,English,57,,2018,"['Jeff Zimbalist', 'Michael Zimbalist']",,
430,Shirkers,Sandi Tan,"['Sandi Tan', 'Jessica Levin', 'Maya Rudolph']",,,,Ishai Adar,Iris Ng,"['Lucas Celler', 'Sandi Tan', 'Kimberley Hassett']",,Netflix,96 minutes,,,96,,2018,Sandi Tan,Shirkers LLC,
431,They'll Love Me When I'm Dead,Morgan Neville,Josh Karp Morgan Neville Korelan Matteson Filip Jan Rymsza,,,Peter Bogdanovich Oja Kodar Orson Welles Steve Ecclesine,Daniel Wohl,,Aaron Wickenden Jason Zeldes,Tremolo Productions Royal Road Entertainment,Netflix,98 minutes,United States,English,98,,2018,,,
432,ReMastered: Tricky Dick & the Man in Black,"['Sara Dosa', 'Barbara Kopple']",,,,"['Johnny Cash', 'Richard Nixon', 'Aram Bakshian']",,,,,Netflix,59 minutes,United States,English,59,,2018,"['Jeff Zimbalist', 'Michael Zimbalist']",,
433,The American Meme,Bert Marcus,"['Bert Marcus', 'Cassandra Thornton']",,,"['Paris Hilton', 'Josh Ostrovsky', 'Kirill Bichutsky', 'Brittany Furlan', 'Hailey Baldwin', 'DJ Khaled', 'Emily Ratajkowski', 'Matthew Felker']",Tyler Strickland,"['Will Dearborn', 'Abraham Martinez']","['Tchavdar Georgiev', 'Monique Zavistovski']",,Netflix,,United States,English,,,2018,Bert Marcus,Bert Marcus Productions,
434,ReMastered: Who Killed Jam Master Jay?,Brian Oakes,,,,"['Jason Mizell', 'DJ Hurricane', 'Rahman Dukes']",,,,,Netflix,58 minutes,United States,English,58,,2018,"['Jeff Zimbalist', 'Michael Zimbalist']",,
435,"Out of Many, One","['John Hoffman', 'Nanfu Wang']",,,,,,,,,Netflix,34 minutes,United States,English,34,,2018,,,
436,Struggle: The Life and Lost Art of Szukalski,Irek Dobrowolski,,,,"['Stanislav Szukalski', 'Glenn Bray', 'Robert Williams']",,,,,Netflix,115 minutes,Poland,English,115,,2018,"['Stephen Cooper', 'Irek Dobrowolski']",,
437,ReMastered: Massacre at the Stadium,"['B.J. Perlmutt', 'Bent-Jorgen Perlmutt']",,,,"['Víctor Jara', 'Joan Jara', 'Pascale Bonnefoy']",,,,,Netflix,64 minutes,United States,Spanish,64,,2019,"['Catalina Ausin', 'John Meroney']",,
438,Fyre,Chris Smith,Danny Gabai Mick Purzycki Chris Smith,,,,,Jake Burghart Cory Fraiman-Lott Henry Zaballos,Jon Karmen Daniel Koehler,,Netflix,97 minutes,United States,English,97,,2019,Chris Smith,Jerry Media Library Films Vice Studios MATTE Projects,
439,ReMastered: The Two Killings of Sam Cooke,Kelly Duane,,,,"['Sam Cooke', 'Quincy Jones', 'Smokey Robinson']",,,,,Netflix,74 minutes,United States,English,74,,2019,"['Jeff Zimbalist', 'Michael Zimbalist']",,
440,Period. End of Sentence.,Rayka Zehtabchi,Rayka Zehtabchi Guneet Monga Melissa Berton Garrett Schiff Lisa Taback,,,Arunachalam Muruganantham,"Giosuè Greco, Dan Romer , Osei Essed",Sam Davis,Sam Davis,,Netflix,25 minutes,United States,Hindi,25,,2018,,,
441,Ankit: The Making of a Legend,Alex Dell,,,,,,,,,Netflix,60 minutes,,,60,,2019,,,
442,ReMastered: The Miami Showband Massacre,Stuart Sender,,,,"['Stephen Travers', 'Bertie Ahern', 'Alan Brecknell']",,,,,Netflix,71 minutes,United States,English,71,,2019,"['Jeff Zimbalist', 'Michael Zimbalist']",,
443,The Legend of Cocaine Island,Theo Love,Theo Love,,,Bo Butterworth,,,,,Netflix,,United States,English,,,2018,,,
444,Homecoming,Beyoncé Ed Burke,Beyoncé,,,Beyoncé Jay-Z Kelly Rowland Les Twins Michelle Williams Solange Blue Ivy Carter,Beyoncé Knowles-Carter,Mark Ritchie,Live performance Alexander Hammer Documentary Andrew Morrow Nia Imani Julian Klincewicz,,Netflix,137 minutes,United States,English,137,,2019,Beyoncé,Parkwood Entertainment,
445,Brené Brown: The Call to Courage,Sandra Restrepo,,,,Brené Brown,,,,,Netflix,76 minutes,United States,English,76,,2019,,,
446,Grass Is Greener,,,,,,,,,,Netflix,,,,,,2019,,,
447,ReMastered: Devil at the Crossroads,Brian Oakes,,,,"['Robert Johnson', 'Terry Bean', 'Rory Block']",,,,,Netflix,48 minutes,United States,English,48,,2019,"['Jeff Zimbalist', 'Michael Zimbalist']",,
448,Knock Down the House,Rachel Lears,Rachel Lears Robin Blotnick Sarah Olson,,,Alexandria Ocasio-Cortez Amy Vilela Cori Bush Paula Jean Swearengin,Ryan Blotnick,Rachel Lears,Robin Blotnick,Jubilee Films Atlas Films Artemis Rising,Netflix,86 minutes,United States,English,86,,2019,Rachel Lears Robin Blotnick,,
449,All in My Family,Hao Wu,,,,,,,,,Netflix,39 minutes,United States,,39,,2019,Hao Wu,,
450,ReMastered: The Lion's Share,Sam Cullman,,,,"['Rian Malan', 'Solomon Linda', 'Delphi Linda']",,,,,Netflix,84 minutes,United States,English,84,,2019,"['Jeff Zimbalist', 'Michael Zimbalist']",,
451,A Tale of Two Kitchens,Trisha Ziff,,,,,,,,,Netflix,29 minutes,,,29,,2019,,,
452,After Maria,Nadia Hallgren,,,,Glenda Martes,,,,,Netflix,37 minutes,United States,Spanish,37,,2019,,One Story Up Productions,
453,The Black Godfather,Reginald Hudlin,,,,"['Hank Aaron', 'Dina R. Andrews', 'Clarence Avant']",,,,,Netflix,118 minutes,United States,English,118,,2019,,,
454,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,Martin Scorsese,"['Margaret Bodde', 'Jeff Rosen']",,,Bob Dylan,,"['Paul Goldsmith', 'Ellen Kuras']","['Damian Rodriguez', 'David Tedeschi']",,Netflix,142 minutes,United States,English,142,,2019,,"['Grey Water Park Productions', 'Sikelia Productions']",
455,Life Overtakes Me,"['Kristine Samuelson', 'John Haptas']",,,,,,,,,Netflix,39 minutes,Sweden,English,39,,2019,,,
456,The Edge of Democracy,Petra Costa,Shane Boris Petra Costa Joanna Natasegara Tiago Pavan,,,Dilma Rousseff Michel Temer Eduardo Cunha Luiz Inácio Lula da Silva,,João Atala,,Busca Vida Filmes,Netflix,121 minutes,Brazil,Portuguese,121,,2019,Petra Costa Carol Pires David Barker Moara Passoni,,
457,Parchis: The Documentary,Daniel Arasanz,,,,"['Francisco Díaz', 'Tino Fernández', 'David Muñoz']",,,,,Netflix,106 minutes,Spain,Spanish,106,,2019,"['Daniel Arasanz', 'Jordi Meya']",,
458,The Great Hack,Karim Amer Jehane Noujaim,Karim Amer Geralyn White Dreyfous Judy Korin Pedro Kos,,,Carole Cadwalladr David Carroll Brittany Kaiser,,,Erin Barnett Carlos Rojas,,Netflix,113 minutes,United States,,113,,2019,Karim Amer Erin Barnett Pedro Kos,The Othrs,
459,Enter the Anime,Alex Burunova,,,,Shinji Aramaki Kôzô Morishita Yoko Takahashi,,,,,Netflix,58 minutes,Japan,Japanese,58,,2019,,,
460,American Factory,Steven Bognar Julia Reichert,Jeff Reichert Julie Parker Benello,,,,Chad Cannon,Steven Bognar Aubrey Keith Jeff Reichert Julia Reichert Erick Stoll,Lindsay Utz,,Netflix,110 minutes,United States,Mandarin,110,,2019,,Higher Ground Productions Participant Media,
461,Travis Scott: Look Mom I Can Fly,White Trash Tyler,Travis Scott Kylie Jenner David Stromberg Angus Wall,,,Travis Scott,,,,,Netflix,84 minutes,United States,English,84,,2019,,,
462,Evelyn,Orlando von Einsiedel,,,,Orlando von Einsiedel,,,,,Netflix,100 minutes,United Kingdom,English,100,,2018,,Grain Media Violet Films,
463,"Hello Privilege. It's Me, Chelsea",Alex Stapleton,,,,Chelsea Handler,,,,,Netflix,64 minutes,United States,English,64,,2019,,Condé Nast Entertainment,
464,Los Tigres del Norte at Folsom Prison,Tom Donahue,,,,Los Tigres del Norte,,,Karim López,,Netflix,64 minutes,United States,Spanish,64,,2019,,Creative Chaos Ventures,
465,Birders,Otilia Portillo Padua,,,,,,,,,Netflix,37 minutes,Mexico,Spanish,37,,2019,,,
466,Ghosts of Sugar Land,Bassam Tariq,,,,Jennifer Julian Kc Okoro,,,,,Netflix,21 minutes,United States,English,21,,2019,Thomas Niles Bassam Tariq,Field of Vision,
467,Tell Me Who I Am,Ed Perkins,Simon Chinn,,,Alex Lewis Marcus Lewis,Gary Welch,Erik Alexander Wilson,David Charap,,Netflix,86 minutes,United Kingdom,English,86,,2019,,,
468,Dancing with the Birds,Huw Cordey,,,,,,,,,Netflix,51 minutes,United States,English,51,,2019,,,
469,It Takes a Lunatic,Billy Lyons (directed by) Kim Ferraro (co-director) Seth Isler (co-director),,,,Alec Baldwin André Bishop Michael Douglas,,,,,Netflix,120 minutes,United States,English,120,,2019,,Exemplar Productions,
470,A 3 Minute Hug,Everardo González,,,,,,,,,Netflix,28 minutes,Mexico ,Spanish,28,,2019,Everardo González,No Ficción,
471,Little Miss Sumo,Matt Kay,,,,Hiyori Kon,,,,,Netflix,19 minutes,United Kingdom,Japanese,19,,2018,Matt Kay,Walks of Life Films,
472,Fire in Paradise,Zackary Canepari Drea Cooper,,,,Joy Beeson Beth Bowersox Abbie DavisHiyori Kon,,,,,Netflix,39 minutes,United States,English,39,,2019,,,
473,"Bikram: Yogi, Guru, Predator",Eva Orner,,,,Larissa Anderson Francesca Asumah Sarah Baughn,,,,,Netflix,86 minutes,United States,English,86,,2019,,Pulse Films,
474,"Lorena, Light-Footed Woman",Juan Carlos Rulfo,,,,Lorena Ramirez Mario Ramírez Santiago Ramírez,,,,,Netflix,28 minutes,Mexico,Spanish,28,,2019,,No Ficción,
475,After the Raid,Rodrigo Reyes,,,,,,,,,Netflix,24 minutes, Mexico,English,24,,2019,,No Ficción,
476,El Pepe: A Supreme Life,Emir Kusturica,,,,Pepe Mujica,,,,,Netflix,74 minutes,Argentina,Spanish,74,,2018,,Kramer & Sigman Films Oriental Films,
477,Miss Americana,Lana Wilson,Morgan Neville Caitrin Rogers Christine O'Malley,,,Taylor Swift,Taylor Swift Alex Somers,Emily Topper,Paul Marchand Greg O'Toole Lee Rosch Lindsay Utz Jason Zeldes,,Netflix,85 minutes,United States,English,85,,2020,,Tremolo Productions,
478,A Life of Speed: The Juan Manuel Fangio Story,Francisco Macri,,,,Fernando Alonso Jackie Stewart Mika Häkkinen,,,,,Netflix,92 minutes,Argentina,Spanish ,92,,2020,,Cinema 7 Films Fox Sports Netflix,
479,Crip Camp,Nicole Newnham James Lebrecht,Nicole Newnham James Lebrecht Sara Bolder,,,,Bear McCreary,Justin Schein,Andrew Gersh Eileen Meyer,Higher Ground Productions Rusted Spoke Little Punk Just Films Ford Foundation,Netflix,108 minutes,United States,English,108,,2020,Nicole Newnham James Lebrecht,,
480,LA Originals,Estevan Oriol,,,,"['Estevan Oriol', 'Mister Cartoon']",,,,,Netflix,92 minutes,Argentina,English,92,,2020,Brian Maya Omar Quiroga,Underground Contenidos,
481,Circus of Books,Rachel Mason,,,,Karen Mason Barry Mason Rachel Mason,,,,,Netflix,92 minutes,United States,English,92,,2019,Rachel Mason Kathryn Robson,,
482,A Secret Love,Chris Bolan,Ryan Murphy Brendan Mason Alexa L. Fogel,,,Terry Donahue Diana Bolen Pat Henschel,Duncan Thum,Stephen Kazmierski,Bernadine Colish,Blumhouse Productions Ryan Murphy Productions Beech Hill Films,Netflix,83 minutes,United States,English,83,,2020,Chris Bolan Alexa L. Fogel Brendan Mason,,
483,Murder to Mercy: The Cyntoia Brown Story,Daniel H. Birman,,,,,,,,,Netflix,96 minutes,United States,English,96,,2020,,,
484,Becoming,Nadia Hallgren,Katy Chevigny Marilyn Ness Lauren Cioffi,,,,Kamasi Washington,Nadia Hallgren,Erin Casper Nathan Punwar Aaron Wickenden,,Netflix,89 minutes,United States,English,89,,2020,,Higher Ground Productions Big Mouth Productions,
485,Have a Good Trip: Adventures in Psychedelics,Donick Cary,,,,Nick Offerman Sting ASAP Rocky,,,,,Netflix,85 minutes,United States,English,85,,2020,Donick Cary,,
486,Spelling the Dream,Sam Rega,,,,,,,,,Netflix,82 minutes,United States,English,82,,2020,Sam Rega Chris Weller,,
487,One Take,Manatsanun Panlertwongskul,,,,BNK48,,,,,Netflix,85 minutes,Thailand,,85,,2020,,"iAM Films BNK48 Office Co., Ltd.",
488,Disclosure: Trans Lives on Screen,Sam Feder,Sam Feder Amy Scholder,,,,Francesco Le Metre,Ava Benjamin Shorr,Stacy Goldate,Field of Vision Bow and Arrow Entertainment Level Forward,Netflix,100 minutes,United States,English,100,,2020,,,
489,Athlete A,Bonni Cohen Jon Shenk,Serin Marshall Jen Sey Julie Parker Benello,,,,Jeff Beal,,Don Bernier,,Netflix,104 minutes,United States,English,104,,2020,,Actual Films,
490,Mucho Mucho Amor: The Legend of Walter Mercado,Cristina Costantini Kareem Tabsch,Alex Fumero Kayla Malahiazar (co-producer) Executive Darren Foster Jeffrey Plunkett Lisa Leingang Mona Panchal,,,Walter Mercado,Jeff Morrow,Peter Alton,Tom Maroney,,Netflix,96 minutes,United States,Spanish,96,,,,"Muck Media Key Rat, Inc. Topic Studios",
491,The Claudia Kishi Club,Sue Ding,,,,,,,,,Netflix,17 minutes,United States,English,17,,2020,,,
492,We Are One,Stéphane de Freitas,,,,Afaq Panmela Castro Stéphane de Freitas,,,,,Netflix,86 minutes,France,French,86,,2020,,,
493,Father Soldier Son,Catrin Einhorn Leslye Davis,Leslye Davis Catrin Einhorn Kathleen Lingo Nancy Donaldson Gauss,,,Brian Eisch,Nathan Halpern,Leslye Davis,Amy Foote,,Netflix,99 minutes,United States,English,99,,2020,,Netflix,
494,The Speed Cubers,Sue Kim,"['Sue Kim', 'Chris Romano']",,,"['Max Park', 'Feliks Zemdegs']",Dan Vidmar,,"['Katie Turinski', 'Dylan Sylwester']","['Saltwater Films', 'Romano Films', 'Wieden & Kennedy']",Netflix,40 minutes,United States,,40,,2020,,,
495,Anelka: Misunderstood,Éric Hannezo,,,,Nicolas Anelka Franck Nataf Omar Sy Arsène Wenger Thierry Henry Didier Drogba Emmanuel Petit,,,,,Netflix,94 minutes,, French,94,,2020,,,
496,John Was Trying to Contact Aliens,Matthew Killip,,,,John Shepherd,,,,,Netflix,16 minutes,United States,English,16,,,,Netflix,
497,Rising Phoenix,Ian Bonhôte Peter Ettedgui,John Battsek Greg Nugent,,,"Jean-Baptiste Alaize Ryley Batt Ellie Cole Philip Craven Xavier Gonzalez, former CEO of the IPC Eva Loeffler, daughter of Sir Ludwig Guttmann Ntando Mahlangu Tatyana McFadden Andrew Parsons Jonnie Peacock Matt Stutzman The Duke of Sussex Bebe Vio Cui Zhe",Daniel Pemberton,,,,Netflix,105 minutes,United Kingdom,English,105,,2020,,"HTYT Films, Passion Pictures, Misfits Entertainment, Ventureland",
498,My Octopus Teacher,Pippa Ehrlich James Reed,,,,,,,,,Netflix,85 minutes,South Africa,English,85,,2020,,Netflix,
499,The Social Dilemma,Jeff Orlowski,Larissa Rhodes,,,Tristan Harris Aza Raskin Justin Rosenstein Shoshana Zuboff Jaron Lanier Skyler Gisondo Kara Hayward Vincent Kartheiser Anna Lembke,Mark A. Crawford,John Behrens Jonathan Pope,Davis Coombe,,Netflix,94 minutes,United States,English,94,,2020,Davis Coombe Vickie Curtis Jeff Orlowski,Exposure Labs Argent Pictures The Space Program,
500,Hope Frozen,Pailin Wedel,,,,,,,,,Netflix,75 minutes,Thailand,Thai ,75,,2019,Nina Ijäs Pailin Wedel,2050 Productions,
501,A Love Song for Latasha,Sophia Nahli Allison,,,,Brittany Hudson,,,,,Netflix,18 minutes,United States,English,18,,,,,
502,American Murder: The Family Next Door,Jenny Popplewell,James Marsh,,,,Nainita Desai,,Simon Barker,,Netflix,82 minutes,United States,English,82,,2020,,Knickerbockerglory,
503,Dick Johnson Is Dead,Kirsten Johnson,Katy Chevigny Marilyn Ness,,,,,Kirsten Johnson,Nels Bangerter,,Netflix,89 minutes,United States,English,89,,2020,Nels Bangerter Kirsten Johnson,Big Mouth Productions,
504,Blackpink: Light Up the Sky,Caroline Suh,Zara Duffy Jon Kamen Dave Sirulnick Cara Mones,,,Blackpink,,Luke McCoubrey,Peter Holmes,,Netflix,79 minutes,South Korea,Korean ,79,,2020,,RadicalMedia,
505,Giving Voice,James D. Stern Fernando Villena,James D. Stern Fernando Villena Karen Bove Schoen Smith Craig Pilligan,,,,Bryan Senti,Jonathan Narducci,Rose Carr Wes Lipman Alexander Hadden,Endgame Entertainment Impact Partners Get Lifted Pilgrim Media Group JuVee Productions,Netflix,87 minutes,United States,English,87,,2020,,,
506,13th,Ava DuVernay,Howard Barish Ava DuVernay Spencer Averick,,,,Jason Moran,Hans Charles Kira Kelly,Spencer Averick,,Netflix,100 minutes,United States,English,100,1000000,2016,Ava DuVernay Spencer Averick,Kandoo Films,
507,Rodney King,Spike Lee,Steven Adams Bob L. Johnson Spike Lee Roger Guenveur Smith,,,Roger Guenveur Smith,Marc Anthony Thompson,,Randy Wilkins,,Netflix,52 minutes,United States,English,52,,2017,Roger Guenveur Smith,,
508,Surviving Twin,,,,,Loudon Wainwright III,,,,,,,,,,,2018,,Netflix,
